Gene,Value
SOX17,0.45619597
MRPL15,0.558258276
LYPLA1,0.318574841
TCEA1,1.158260694
ATP6V1H,0.705917289
RB1CC1,0.997820891
PCMTD1,0.761292196
RRS1,0.960769965
VCPIP1,0.338741106
SNHG6,0.379872552
COPS5,0.562366533
ARFGEF1,0.932209767
PREX2,0.983688199
TRAM1,0.617624357
RPL7,21.20439383
RDH10,0.521262137
UBE2W,0.548446407
ELOC,3.116814723
TMEM70,0.363684698
LY96,0.859448519
MCM3,0.447935012
SMAP1,1.129370085
LMBRD1,0.55347621
PHF3,1.208003306
PTP4A1,1.914553245
ZFP451,0.515523341
DST,2.669097348
CCDC115,0.543434942
IMP4,0.706268378
PTPN18,0.484301773
FAM168B,0.455345839
UGGT1,0.342595802
NEURL3,1.142598276
ARID5A,1.107641353
KANSL3,0.383728181
COX5B,4.727934493
ACTR1B,0.327450976
TMEM131,0.319183555
UNC50,0.635901242
MITD1,0.744842642
MRPL30,1.713370918
TXNDC9,1.45218075
EIF5B,1.844115074
PDCL3,0.86762865
RPL31,4.473195438
MAP4K4,5.082913588
IL1R1,0.59026081
MRPS9,0.316339295
TPP2,1.000410403
TEX30,0.309996684
WDR75,0.512510204
SLC39A10,0.574438603
CAVIN2,0.893095054
MYO1B,0.510965418
STAT1,1.274445412
GLS,1.926670432
NAB1,1.180775014
SF3B1,3.894648071
COQ10B,2.317082514
HSPD1,1.747280344
HSPE1,2.532328217
MOB4,1.980513541
MAIP1,0.416759107
BZW1,2.806275206
CLK1,1.732904664
NDUFB3,0.689126885
CFLAR,1.663356661
CASP8,0.866545256
TRAK2,0.358362174
SUMO1,4.569529605
NOP58,2.096510232
BMPR2,1.845779747
WDR12,0.473329007
NBEAL1,0.60102022
CYP20A1,0.413704014
RAPH1,0.52993431
NRP2,6.618435361
INO80D,0.529436387
EEF1B2,8.894089356
KLF7,1.348892075
CREB1,0.320218078
PIKFYVE,0.319064353
ACADL,0.966953329
FN1,0.354583796
RPL37A,20.6039169
IGFBP5,7.457549252
TNS1,2.290138873
ARPC2,5.227805449
AAMP,1.26205767
TMBIM1,1.806422007
CTDSP1,0.410382649
STK16,0.557644993
FARSB,0.335265707
WDFY1,0.597291644
MRPL44,0.308541494
CUL3,1.747703636
MFF,1.241666373
AGFG1,1.317629621
TRIP12,0.986527763
SP110,0.40552678
